Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded,Turnover,No. of,Deliverable,% Dly Qt to
,,,,,,,,,,Quantity,,Trades,Qty,Traded Qty
YESBANK,EQ,11-Jul-19,93,94,95,90.7,93.25,92.45,92.33,"7,34,32,269","6,77,96,47,929.50","2,64,582","53,39,656",7.27
YESBANK,EQ,12-Jul-19,92.45,93.25,94.85,91.65,94.35,94.2,93.42,"6,07,02,978","5,67,10,71,738.65","2,13,781","63,99,895",10.54
YESBANK,EQ,15-Jul-19,94.2,95,99.3,92.55,92.85,93.2,95.92,"12,67,36,904","12,15,69,02,250.10","4,21,595","1,85,21,208",14.61
YESBANK,EQ,16-Jul-19,93.2,94,106.5,92.25,106.25,103.85,99.89,"22,86,82,135","22,84,28,76,942.75","7,36,995","2,77,21,331",12.12
YESBANK,EQ,17-Jul-19,103.85,108.5,108.5,97.55,98.4,98.4,102.28,"23,83,75,009","24,38,06,95,382.95","8,09,538","2,96,13,479",12.42
YESBANK,EQ,18-Jul-19,98.4,88.6,90.25,79.15,85.9,85.8,87.16,"22,92,58,092","19,98,31,67,416.15","8,22,344","4,54,27,528",19.82
YESBANK,EQ,19-Jul-19,85.8,86,86.9,82.6,82.75,83.25,84.73,"14,58,63,654","12,35,97,02,339.80","4,83,706","1,88,62,385",12.93
YESBANK,EQ,22-Jul-19,83.25,83.3,92.5,81.7,91.15,91.15,88.45,"20,87,58,719","18,46,39,66,354.95","6,70,826","2,80,37,977",13.43
YESBANK,EQ,23-Jul-19,91.15,89,93.9,87.1,90.25,90.65,91,"16,49,64,349","15,01,25,39,949.15","5,09,390","1,07,25,506",6.5
YESBANK,EQ,24-Jul-19,90.65,91.5,93.65,88.15,88.75,89.15,90.71,"10,40,07,122","9,43,42,81,763.50","3,46,799","97,66,565",9.39
YESBANK,EQ,25-Jul-19,89.15,88.4,90.4,85.85,87.75,87.65,88.18,"11,30,15,178","9,96,51,62,931.55","3,63,374","1,17,43,736",10.39
YESBANK,EQ,26-Jul-19,87.65,88.75,96.9,87.1,95.6,96.05,93.51,"18,60,97,455","17,40,25,35,012.90","5,88,345","2,63,42,742",14.16
YESBANK,EQ,29-Jul-19,96.05,95.7,98.7,91.35,94.7,94.75,94.95,"13,82,87,221","13,13,05,83,467.65","4,64,412","1,11,73,366",8.08
YESBANK,EQ,30-Jul-19,94.75,95,96.3,81.15,85.8,86.05,91.07,"12,09,79,045","11,01,70,60,957.00","3,95,139","1,82,56,722",15.09
YESBANK,EQ,31-Jul-19,86.05,86,92.35,84.75,89.7,91.2,89.36,"13,30,54,947","11,89,00,55,421.10","4,19,511","1,26,41,893",9.5
YESBANK,EQ,1-Aug-19,91.2,88.95,91.3,85.75,89.1,88.4,88.81,"11,18,42,102","9,93,22,09,669.05","3,57,707","87,66,070",7.84
YESBANK,EQ,2-Aug-19,88.4,87.8,90.9,86.8,88.15,88.3,88.83,"10,63,97,716","9,45,18,33,048.80","3,38,485","68,88,909",6.47
YESBANK,EQ,5-Aug-19,88.3,88,88,79.5,81.05,81.1,82.5,"13,63,52,605","11,24,84,89,864.85","4,58,718","1,94,55,087",14.27
YESBANK,EQ,6-Aug-19,81.1,80.9,86.65,79.7,85.55,85.35,83.58,"13,48,19,814","11,26,84,99,387.50","4,20,139","1,35,97,734",10.09
YESBANK,EQ,7-Aug-19,85.35,86.5,92,86.1,87.05,86.85,89.64,"17,14,29,816","15,36,75,99,723.35","4,91,230","1,53,49,434",8.95
YESBANK,EQ,8-Aug-19,86.85,89.25,89.9,84.8,89.45,89.2,88.06,"12,23,25,009","10,77,14,52,637.40","3,77,805","87,94,055",7.19
YESBANK,EQ,9-Aug-19,89.2,91.8,92.45,81.15,82.2,82.15,85.45,"18,70,30,766","15,98,18,78,512.80","5,46,004","4,14,66,324",22.17
YESBANK,EQ,13-Aug-19,82.15,84,84.2,72.85,73.2,73.6,77.48,"20,67,12,601","16,01,66,06,884.95","6,44,643","3,94,95,343",19.11
YESBANK,EQ,14-Aug-19,73.6,74.9,77.9,70.55,76.6,76.55,75.51,"17,31,14,134","13,07,17,56,783.10","5,12,452","1,52,62,969",8.82
YESBANK,EQ,16-Aug-19,76.55,79,81.45,76.85,78.5,79.45,79.28,"14,34,78,784","11,37,43,10,743.70","4,47,994","1,47,69,187",10.29
YESBANK,EQ,19-Aug-19,79.45,79.45,80.75,76,76.8,76.65,77.98,"12,76,52,182","9,95,41,16,291.05","3,83,538","1,18,06,763",9.25
YESBANK,EQ,20-Aug-19,76.65,76.95,76.95,70.5,71.55,71.2,72.28,"16,79,66,737","12,14,05,59,139.10","4,80,588","2,67,74,559",15.94
YESBANK,EQ,21-Aug-19,71.2,71.2,71.5,64.55,65.05,65.4,67.7,"22,82,12,985","15,44,97,93,793.60","5,92,928","4,08,11,119",17.88
YESBANK,EQ,22-Aug-19,65.4,66.4,67.7,53.2,57.45,56.3,59.83,"31,46,92,568","18,82,83,02,482.25","7,59,126","4,97,03,748",15.79
YESBANK,EQ,23-Aug-19,56.3,56.4,61.25,54.75,59.45,59.25,58.89,"30,93,67,850","18,21,96,56,397.95","7,42,741","2,51,29,814",8.12
YESBANK,EQ,26-Aug-19,59.25,62.95,64.7,57.35,62.25,62.9,61.12,"27,77,99,302","16,97,81,90,443.60","6,32,346","3,79,20,384",13.65
YESBANK,EQ,27-Aug-19,62.9,62.9,65.35,62.5,64.95,64.5,64.02,"19,09,96,863","12,22,70,84,632.65","4,54,909","2,60,32,687",13.63
YESBANK,EQ,28-Aug-19,64.5,64.5,65.15,58.05,59.9,59.5,61.07,"22,31,67,624","13,62,92,26,542.35","5,50,714","2,48,02,738",11.11
YESBANK,EQ,29-Aug-19,59.5,59.25,59.3,55,57.5,57.4,56.71,"18,87,54,023","10,70,40,90,446.10","4,70,010","2,53,28,173",13.42
YESBANK,EQ,30-Aug-19,57.4,58.25,60.95,55.5,60.4,59.95,57.86,"22,63,95,035","13,10,00,90,625.85","5,16,012","2,26,48,516",10
YESBANK,EQ,3-Sep-19,59.95,59.25,62.3,57.65,58.6,58.75,59.62,"19,63,26,964","11,70,57,56,406.20","4,51,396","2,02,48,456",10.31
YESBANK,EQ,4-Sep-19,58.75,58.35,60.3,57.25,59.1,59.45,58.69,"14,37,42,201","8,43,67,76,073.50","3,26,434","69,96,421",4.87
YESBANK,EQ,5-Sep-19,59.45,59.7,62.35,58.85,61.8,61.95,60.72,"17,79,19,556","10,80,34,85,421.70","3,72,116","1,87,77,256",10.55
YESBANK,EQ,6-Sep-19,61.95,61.3,62.15,59.6,60.75,60.4,60.89,"13,07,16,447","7,95,98,62,803.35","3,04,732","80,27,971",6.14
YESBANK,EQ,9-Sep-19,60.4,60.1,64.1,59.85,63,63.1,62.04,"15,08,97,861","9,36,20,62,948.80","3,34,761","1,24,37,115",8.24
YESBANK,EQ,11-Sep-19,63.1,66,75.45,65,71.3,71.6,69.9,"33,29,38,591","23,27,35,75,772.05","7,62,268","2,65,74,361",7.98
YESBANK,EQ,12-Sep-19,71.6,71.8,72.2,67.15,68.25,67.95,69.07,"22,18,39,869","15,32,19,92,880.50","4,85,189","1,78,29,177",8.04
YESBANK,EQ,13-Sep-19,67.95,67,69.5,64.1,67.8,68.55,66.6,"27,82,85,524","18,53,47,64,806.80","5,84,011","1,27,59,833",4.59
YESBANK,EQ,16-Sep-19,68.55,67.6,68.2,65.95,67.1,67.05,67.25,"12,81,89,225","8,62,09,58,082.65","3,43,928","1,03,03,951",8.04
YESBANK,EQ,17-Sep-19,67.05,67.1,68.8,64.65,65.3,65.1,67.07,"15,09,32,029","10,12,33,35,883.30","3,81,998","1,30,39,154",8.64
YESBANK,EQ,18-Sep-19,65.1,66,66.45,61.7,64.45,64.1,64.49,"18,69,37,027","12,05,49,46,484.85","4,24,930","1,16,48,735",6.23
YESBANK,EQ,19-Sep-19,64.1,64.7,64.8,53,54,54.1,57.87,"32,12,70,950","18,59,30,93,070.05","7,82,427","7,02,38,226",21.86
YESBANK,EQ,20-Sep-19,54.1,53.7,59.9,52.7,56.1,55.5,56.66,"39,83,47,296","22,57,08,05,918.00","8,90,174","3,53,99,380",8.89
YESBANK,EQ,23-Sep-19,55.5,57,57.5,52.9,55.2,55.45,55.16,"22,11,69,297","12,19,92,59,386.30","5,09,487","2,18,17,271",9.86
YESBANK,EQ,24-Sep-19,55.45,54.9,57.65,53.55,56,56.05,55.65,"17,18,28,060","9,56,27,90,208.90","4,47,755","1,16,73,729",6.79
YESBANK,EQ,25-Sep-19,56.05,55.9,56.85,53.1,53.25,53.7,55.08,"15,24,30,784","8,39,66,22,932.85","4,01,291","2,00,78,939",13.17
YESBANK,EQ,26-Sep-19,53.7,53.9,54.25,50.55,51.2,51.05,52,"24,96,70,424","12,98,31,12,614.10","5,55,056","5,74,55,356",23.01
YESBANK,EQ,27-Sep-19,51.05,50,52.9,48.4,48.5,48.75,50.22,"30,68,67,611","15,41,13,25,340.70","6,62,091","2,83,35,565",9.23
YESBANK,EQ,30-Sep-19,48.75,48.25,49.1,40.95,41.75,41.4,43.37,"35,66,66,325","15,46,73,04,144.45","7,24,079","5,50,09,377",15.42
YESBANK,EQ,1-Oct-19,41.4,42,44.3,29,32.2,32,36.1,"80,89,59,169","29,20,64,24,822.95","13,36,273","14,44,59,392",17.86
