Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded,Turnover,No. of,Deliverable,% Dly Qt to
,,,,,,,,,,Quantity,,Trades,Qty,Traded Qty
YESBANK,EQ,17-Feb-20,38.9,39.5,40.1,36.6,37.35,37.15,37.67,"11,60,75,992","4,37,27,52,775.75","2,02,087","1,52,44,704",13.13
YESBANK,EQ,18-Feb-20,37.15,37.35,37.5,33.65,34.8,35.05,34.75,"22,90,70,225","7,96,08,59,165.25","3,45,039","4,82,41,514",21.06
YESBANK,EQ,19-Feb-20,35.05,34,36.2,33.6,35.35,35.3,34.96,"12,77,01,131","4,46,49,80,224.70","2,23,661","1,18,28,570",9.26
YESBANK,EQ,20-Feb-20,35.3,35.3,36.5,34.65,35.55,35.45,35.82,"11,94,36,898","4,27,84,89,956.10","2,12,172","1,38,78,984",11.62
YESBANK,EQ,24-Feb-20,35.45,35.5,35.9,34.15,35.2,34.95,35.12,"10,58,51,722","3,71,70,53,837.40","1,80,344","1,53,66,992",14.52
YESBANK,EQ,25-Feb-20,34.95,35.25,36,34.75,35.1,35.15,35.23,"8,81,84,594","3,10,71,20,236.90","1,50,768","1,26,51,538",14.35
YESBANK,EQ,26-Feb-20,35.15,34.9,37.05,34.45,36.9,36.55,35.99,"14,92,29,469","5,37,11,19,344.65","2,37,216","2,33,97,720",15.68
YESBANK,EQ,27-Feb-20,36.55,37.3,37.95,36,36.45,36.8,37.25,"16,43,15,370","6,12,02,04,092.95","2,39,935","2,33,17,517",14.19
YESBANK,EQ,28-Feb-20,36.8,35.15,35.85,34.3,34.35,34.6,34.93,"14,17,20,001","4,95,03,41,427.55","2,10,153","2,92,18,118",20.62
YESBANK,EQ,2-Mar-20,34.6,35.2,35.55,29.8,32.3,31.55,33.65,"12,77,50,922","4,29,83,31,619.45","2,13,681","2,25,42,969",17.65
YESBANK,EQ,3-Mar-20,31.55,32.45,33.3,30.5,31.4,31.2,31.78,"16,42,68,356","5,22,01,85,379.05","2,43,059","2,02,46,684",12.33
YESBANK,EQ,4-Mar-20,31.2,31.5,31.7,28.7,29.3,29.3,29.77,"20,28,51,281","6,03,96,24,533.00","3,11,010","3,13,96,236",15.48
YESBANK,EQ,5-Mar-20,29.3,29.4,37.85,28,37.2,36.8,34.82,"78,47,03,310","27,32,17,14,941.85","12,15,263","6,43,24,974",8.2
YESBANK,EQ,6-Mar-20,36.8,33.15,33.15,5.65,16.6,16.15,14.75,"1,26,49,17,719","18,65,99,65,778.10","16,57,599","24,02,03,179",18.99
YESBANK,EQ,9-Mar-20,16.15,17,22.8,16.2,21.35,21.25,20.24,"72,75,71,816","14,72,46,50,069.90","10,70,599","13,57,24,742",18.65
